nrc,clave,materia,seccion,profesor,programa,edificio,aula,dia_codigo,dia_orden,inicio,fin,minutos,cruzada
25966,IDDS 001,Administracion de Proyectos,101,Rodriguez - Pedroza Berenice,ICC,1CCO1,004,A,2,07:00:00,08:59:00,119,False
25966,IDDS 001,Administracion de Proyectos,101,Rodriguez - Pedroza Berenice,ICC,1CCO1,004,J,4,07:00:00,08:59:00,119,False
25978,IDDS 001,Administracion de Proyectos,102,Romero - Valdez Maria DEL Carmen,ICC,1CCO5,203,A,2,09:00:00,10:59:00,119,False
25978,IDDS 001,Administracion de Proyectos,102,Romero - Valdez Maria DEL Carmen,ICC,1CCO5,203,J,4,09:00:00,10:59:00,119,False
26005,IDDS 001,Administracion de Proyectos,103,Romero - Valdez Maria DEL Carmen,ICC,1CCO1,002,M,3,17:00:00,18:59:00,119,False
26005,IDDS 001,Administracion de Proyectos,103,Romero - Valdez Maria DEL Carmen,ICC,1CCO1,002,V,5,17:00:00,18:59:00,119,False
26030,IDDS 001,Administracion de Proyectos,104,Romero - Valdez Maria DEL Carmen,ICC,1CCO5,201,A,2,17:00:00,18:59:00,119,False
26030,IDDS 001,Administracion de Proyectos,104,Romero - Valdez Maria DEL Carmen,ICC,1CCO5,201,J,4,17:00:00,18:59:00,119,False
26065,IDDS 001,Administracion de Proyectos,105,Vera - Cervantes Eugenia Erica,ICC,1CCO1,001,M,3,11:00:00,12:59:00,119,False
26065,IDDS 001,Administracion de Proyectos,105,Vera - Cervantes Eugenia Erica,ICC,1CCO1,001,V,5,11:00:00,12:59:00,119,False
26082,IDDS 001,Administracion de Proyectos,106,Ambrosio - Vazquez Alma Delia,ICC,1CCO5,203,M,3,15:00:00,16:59:00,119,False
26082,IDDS 001,Administracion de Proyectos,106,Ambrosio - Vazquez Alma Delia,ICC,1CCO5,203,V,5,15:00:00,16:59:00,119,False
26104,IDDS 001,Administracion de Proyectos,108,Zenteno - Vazquez ANA Claudia,ICC,1CCO4,203,M,3,09:00:00,10:59:00,119,False
26104,IDDS 001,Administracion de Proyectos,108,Zenteno - Vazquez ANA Claudia,ICC,1CCO4,203,V,5,09:00:00,10:59:00,119,False
26119,IDDS 001,Administracion de Proyectos,109,Gonzalez - Flores Marcos,ICC,1CCO4,201,A,2,13:00:00,14:59:00,119,False
26119,IDDS 001,Administracion de Proyectos,109,Gonzalez - Flores Marcos,ICC,1CCO4,201,J,4,13:00:00,14:59:00,119,False
26125,IDDS 001,Administracion de Proyectos,110,Mendoza - Rojas Angel Omar,ICC,1CCO4,401,M,3,07:00:00,08:59:00,119,False
26125,IDDS 001,Administracion de Proyectos,110,Mendoza - Rojas Angel Omar,ICC,1CCO4,401,V,5,07:00:00,08:59:00,119,False
25094,ICCS 261,Administracion de Redes,OO1,Zenteno - Vazquez ANA Claudia,ICC,1CCO1,005,L,1,11:00:00,11:59:00,59,False
25094,ICCS 261,Administracion de Redes,OO1,Zenteno - Vazquez ANA Claudia,ICC,1CCO1,005,M,3,11:00:00,12:59:00,119,False
25094,ICCS 261,Administracion de Redes,OO1,Zenteno - Vazquez ANA Claudia,ICC,1CCO3,302,V,5,11:00:00,12:59:00,119,False
25117,ICCS 261,Administracion de Redes,OO2,Romero - Hernandez Yeiny,ICC,1CCO3,302,L,1,13:00:00,13:59:00,59,False
