nrc,clave,materia,seccion,dias,hora,profesor,salon,programa
25966,IDDS 001,Administracion de Proyectos,101,A,0700-0859,Rodriguez - Pedroza Berenice,1CCO1/004,ICC
25966,IDDS 001,Administracion de Proyectos,101,J,0700-0859,Rodriguez - Pedroza Berenice,1CCO1/004,ICC
25978,IDDS 001,Administracion de Proyectos,102,A,0900-1059,Romero - Valdez Maria DEL Carmen,1CCO5/203,ICC
25978,IDDS 001,Administracion de Proyectos,102,J,0900-1059,Romero - Valdez Maria DEL Carmen,1CCO5/203,ICC
26005,IDDS 001,Administracion de Proyectos,103,M,1700-1859,Romero - Valdez Maria DEL Carmen,1CCO1/002,ICC
26005,IDDS 001,Administracion de Proyectos,103,V,1700-1859,Romero - Valdez Maria DEL Carmen,1CCO1/002,ICC
26030,IDDS 001,Administracion de Proyectos,104,A,1700-1859,Romero - Valdez Maria DEL Carmen,1CCO5/201,ICC
26030,IDDS 001,Administracion de Proyectos,104,J,1700-1859,Romero - Valdez Maria DEL Carmen,1CCO5/201,ICC
26065,IDDS 001,Administracion de Proyectos,105,M,1100-1259,Vera - Cervantes Eugenia Erica,1CCO1/001,ICC
26065,IDDS 001,Administracion de Proyectos,105,V,1100-1259,Vera - Cervantes Eugenia Erica,1CCO1/001,ICC
26082,IDDS 001,Administracion de Proyectos,106,M,1500-1659,Ambrosio - Vazquez Alma Delia,1CCO5/203,ICC
26082,IDDS 001,Administracion de Proyectos,106,V,1500-1659,Ambrosio - Vazquez Alma Delia,1CCO5/203,ICC
26104,IDDS 001,Administracion de Proyectos,108,M,0900-1059,Zenteno - Vazquez ANA Claudia,1CCO4/203,ICC
26104,IDDS 001,Administracion de Proyectos,108,V,0900-1059,Zenteno - Vazquez ANA Claudia,1CCO4/203,ICC
26119,IDDS 001,Administracion de Proyectos,109,A,1300-1459,Gonzalez - Flores Marcos,1CCO4/201,ICC
26119,IDDS 001,Administracion de Proyectos,109,J,1300-1459,Gonzalez - Flores Marcos,1CCO4/201,ICC
